feature,AUROC_MIMIC,AUROC_eICU,dist_MIMIC,dist_eICU,flag
mv_duration_hours,0.799,0.239,0.299,0.261,FLIPPED
po2_min,0.286,0.392,0.214,0.108,
aniongap_max,0.711,0.622,0.211,0.122,
bun_max,0.677,0.605,0.177,0.105,
aniongap_min,0.672,0.592,0.172,0.092,
ptt_max,0.67,0.62,0.17,0.12,
lactate_max,0.67,0.581,0.17,0.081,
pt_max,0.659,0.563,0.159,0.063,
inr_max,0.656,0.5,0.156,0.0,
received_rrt,0.652,0.528,0.152,0.028,
creatinine_min,0.652,0.589,0.152,0.089,
bicarbonate_min,0.349,0.46,0.151,0.04,
ph_min,0.36,0.46,0.14,0.04,
resp_rate_mean,0.626,0.584,0.126,0.084,
congestive_heart_failure,0.626,0.524,0.126,0.024,
sodium_max,0.614,0.468,0.114,0.032,FLIPPED
hemoglobin_min,0.392,0.451,0.108,0.049,
ptt_min,0.601,0.552,0.101,0.052,
sbp_mean,0.41,0.495,0.09,0.005,
cerebrovascular_disease,0.579,0.499,0.079,0.001,
fibrinogen_min,0.422,0.502,0.078,0.002,
pco2_max,0.573,0.527,0.073,0.027,
spo2_mean,0.435,0.346,0.065,0.154,
potassium_min,0.447,0.507,0.053,0.007,
platelets_max,0.548,0.643,0.048,0.143,
last_fio2,0.536,0.445,0.036,0.055,FLIPPED
sbp_max,0.482,0.492,0.018,0.008,
po2_max,0.487,0.602,0.013,0.102,FLIPPED
