feature,mean_abs_shap
mv_duration_hours,0.69464576
po2_min,0.38949382
received_rrt,0.2343227
sbp_max,0.17639123
po2_max,0.17585294
sbp_mean,0.15183215
ptt_max,0.15117112
hemoglobin_min,0.14291853
pt_max,0.13444136
last_fio2,0.12865111
spo2_mean,0.12776266
resp_rate_mean,0.12649015
pco2_max,0.11974727
bun_max,0.11923886
platelets_max,0.113226116
creatinine_min,0.106473885
cerebrovascular_disease,0.10430593
aniongap_min,0.10420335
fibrinogen_min,0.100522
ptt_min,0.09755899
lactate_max,0.09447777
potassium_min,0.09333522
sodium_max,0.08733053
congestive_heart_failure,0.08252519
aniongap_max,0.06654862
ph_min,0.062464703
bicarbonate_min,0.03581273
inr_max,0.02952069
